Behavior,Scale,SampEn
Following,1,0.28112146410946004
Following,2,0.5167849804718381
Following,3,0.6011426081247585
Following,4,0.519517284577777
Following,5,0.43532952700818356
Lane-change,1,0.3825998157740705
Lane-change,2,0.6613200576513084
Lane-change,3,0.5807777474299326
Lane-change,4,0.3687057096310884
Lane-change,5,0.2760148743107059
Hard-brake,1,0.6424049128998202
Hard-brake,2,0.7305920524973364
Hard-brake,3,0.4310235264694004
Hard-brake,4,0.19087190514287455
Hard-brake,5,0.1582242299216847
