Feature,Importance
hist_dx_t-5,0.03914961963891983
hist_dy_t-7,0.03887303173542023
hist_dx_t-10,0.036833956837654114
hist_dx_t-3,0.03353672847151756
hist_dx_t-2,0.03209070861339569
hist_dx_t-4,0.03132098540663719
ay_mean,0.02946341410279274
hist_dx_t-12,0.028429508209228516
vx_last,0.024579927325248718
vy_mean,0.02413254790008068
delay_x_1,0.023228492587804794
vx_std,0.021859025582671165
ay_last,0.02169596403837204
lon_displacement,0.020837299525737762
hist_dx_t-7,0.019961263984441757
lyapunov_proxy_y,0.019572358578443527
hist_dx_t-8,0.01939360983669758
hist_dx_t-6,0.01903913915157318
hist_dy_t-2,0.018114294856786728
sq_acc_abs_p90,0.017096851021051407
sq_graph_density,0.017043456435203552
hist_dy_t-10,0.016284095123410225
sq_sampen_y,0.016184644773602486
ay_std,0.016102181747555733
last_y,0.016069963574409485
vy_std,0.01600605808198452
vy_last,0.015888437628746033
hist_dy_t-12,0.015619375742971897
last_x,0.01556975394487381
hist_dy_t-3,0.014770487323403358
lat_range,0.014736324548721313
complexity_speed,0.014478940516710281
vx_mean,0.014286277815699577
jerk_y_std,0.014153502881526947
hist_lane_last,0.013644353486597538
sq_dfa_y_alpha,0.013006037101149559
ax_std,0.01298443228006363
delay_y_2,0.011340037919580936
sq_dfa_speed_alpha,0.011098375543951988
sq_graph_same_lane_density,0.010646984912455082
acc_abs_p90,0.010475696064531803
sq_graph_neighbor_count,0.010247865691781044
sampen_y,0.010098131373524666
hist_dy_t-5,0.010012046433985233
sq_graph_min_headway,0.009598265402019024
hist_dy_t-8,0.009559896774590015
ax_mean,0.009304569102823734
delay_x_2,0.009278109297156334
sq_mse_speed_s1,0.009266173467040062
sq_rqa_recurrence_rate,0.009049074724316597
delay_y_1,0.008933141827583313
hist_dx_t-11,0.008781053125858307
hist_dy_t-6,0.008189673535525799
ax_last,0.007978087291121483
sq_mse_speed_slope,0.007922181859612465
graph_mean_rel_speed,0.007808644324541092
hist_dy_t-11,0.007343900389969349
hist_lane_change_count,0.007317114155739546
mse_speed_slope,0.007130004931241274
sq_graph_mean_rel_speed,0.006343341898173094
hist_dy_t-4,0.0052595059387385845
sq_mse_speed_mean,0.004759762901812792
sq_mse_speed_s3,0.0036344986874610186
sq_mse_speed_s2,0.0025867766235023737
sq_sampen_speed,0.0
sq_rqa_mean_diag_len,0.0
delay_y_0,0.0
sq_mse_speed_s4,0.0
sq_mse_speed_s5,0.0
hist_dx_t-1,0.0
sq_rqa_determinism,0.0
graph_density,0.0
hist_dx_t-9,0.0
mse_speed_s3,0.0
hist_dy_t-9,0.0
rqa_recurrence_rate,0.0
rqa_determinism,0.0
rqa_mean_diag_len,0.0
sampen_speed,0.0
mse_speed_s1,0.0
mse_speed_s2,0.0
hist_dy_t-1,0.0
graph_neighbor_count,0.0
mse_speed_s5,0.0
mse_speed_mean,0.0
dfa_y_alpha,0.0
dfa_speed_alpha,0.0
delay_x_0,0.0
graph_min_headway,0.0
graph_same_lane_density,0.0
mse_speed_s4,0.0
