Feature,Importance
hist_dx_t-4,0.04975683614611626
ay_mean,0.040040913969278336
hist_dx_t-11,0.039638713002204895
hist_dx_t-12,0.03845928609371185
hist_dx_t-3,0.03819185867905617
hist_dx_t-2,0.036267660558223724
delay_x_2,0.027604635804891586
vy_mean,0.02700943313539028
delay_x_1,0.026886645704507828
ay_last,0.025259125977754593
lyapunov_proxy_y,0.02481442131102085
vx_last,0.02421078458428383
lon_displacement,0.023861786350607872
hist_dy_t-7,0.02118528075516224
sq_graph_density,0.020907962694764137
hist_dy_t-8,0.02056790329515934
hist_dx_t-8,0.020231198519468307
hist_dx_t-7,0.018586665391921997
hist_dy_t-4,0.01855250634253025
last_y,0.018074089661240578
vy_last,0.017972616478800774
vx_std,0.017371686175465584
hist_dy_t-10,0.017147013917565346
hist_dy_t-2,0.01657148450613022
hist_dy_t-12,0.016460798680782318
ax_mean,0.016282252967357635
hist_lane_last,0.015975255519151688
vx_mean,0.01565251685678959
hist_dy_t-6,0.01516030915081501
sq_acc_abs_p90,0.015005734749138355
sq_graph_neighbor_count,0.014902548864483833
ax_std,0.014602812938392162
lat_range,0.014465940184891224
hist_dy_t-3,0.014076477847993374
sq_graph_same_lane_density,0.013914911076426506
ay_std,0.013834523037075996
vy_std,0.01373217161744833
delay_y_2,0.012588266283273697
sq_dfa_speed_alpha,0.012516327202320099
sq_sampen_y,0.012502060271799564
last_x,0.01176841463893652
complexity_speed,0.011743792332708836
jerk_y_std,0.011030666530132294
delay_y_1,0.010422658175230026
dfa_y_alpha,0.009999374859035015
sq_mse_speed_s1,0.0099058598279953
graph_same_lane_density,0.009525565430521965
sq_dfa_y_alpha,0.009448789060115814
ax_last,0.009061526507139206
graph_mean_rel_speed,0.008980660699307919
dfa_speed_alpha,0.008465108461678028
hist_dx_t-10,0.008216858841478825
hist_dx_t-6,0.006957019213587046
mse_speed_s3,0.004771552514284849
acc_abs_p90,0.004549541510641575
sq_graph_mean_rel_speed,0.00357989314943552
sq_graph_min_headway,0.000729264400433749
sq_rqa_mean_diag_len,0.0
hist_dy_t-5,0.0
sq_rqa_determinism,0.0
sq_sampen_speed,0.0
hist_lane_change_count,0.0
sq_mse_speed_s2,0.0
sq_mse_speed_s3,0.0
sq_mse_speed_s4,0.0
sq_rqa_recurrence_rate,0.0
sq_mse_speed_mean,0.0
sq_mse_speed_slope,0.0
hist_dx_t-1,0.0
hist_dy_t-11,0.0
hist_dy_t-1,0.0
sq_mse_speed_s5,0.0
graph_density,0.0
graph_neighbor_count,0.0
graph_min_headway,0.0
delay_x_0,0.0
hist_dx_t-5,0.0
hist_dy_t-9,0.0
hist_dx_t-9,0.0
rqa_recurrence_rate,0.0
rqa_determinism,0.0
rqa_mean_diag_len,0.0
sampen_y,0.0
sampen_speed,0.0
mse_speed_s1,0.0
mse_speed_s2,0.0
mse_speed_s4,0.0
mse_speed_mean,0.0
mse_speed_slope,0.0
delay_y_0,0.0
mse_speed_s5,0.0
