Model,Horizon_s,Error_m
CV,1.0,0.5990043710662671
CV,2.0,1.542004163356474
CV,3.0,2.7685943329226324
CV,4.0,4.261086780028273
CV,5.0,5.993390946669981
Ridge,1.0,0.5219099363280979
Ridge,2.0,1.3791220348890882
Ridge,3.0,2.486124865686229
Ridge,4.0,3.854776994079695
Ridge,5.0,5.471847172204458
Ridge+nonlinear,1.0,0.521772351496214
Ridge+nonlinear,2.0,1.3766217768523303
Ridge+nonlinear,3.0,2.479359142600558
Ridge+nonlinear,4.0,3.842448477370944
Ridge+nonlinear,5.0,5.447046193322014
XGBoost,1.0,0.5032855906695918
XGBoost,2.0,1.32142865768599
XGBoost,3.0,2.3804531367162003
XGBoost,4.0,3.694366967779247
XGBoost,5.0,5.251517557524426
XGBoost+nonlinear,1.0,0.5037389469100847
XGBoost+nonlinear,2.0,1.321984010690526
XGBoost+nonlinear,3.0,2.380137606677962
XGBoost+nonlinear,4.0,3.6921841129641932
XGBoost+nonlinear,5.0,5.246154026901596
