Behavior,Scale,SampEn
Straight,1,1.0986122886681098
Straight,2,1.0986122886681098
Straight,3,1.0986122886681098
Straight,4,0.0
Straight,5,0.0
Following,1,0.2723494585755313
Following,2,0.531655504296612
Following,3,0.62377256406126
Following,4,0.49373967956200315
Following,5,0.4135498010733676
Lane-change,1,0.3847904556092481
Lane-change,2,0.6907206345742186
Lane-change,3,0.5556296478914627
Lane-change,4,0.36569282734631064
Lane-change,5,0.26446242130137354
Hard-brake,1,0.6424049128998202
Hard-brake,2,0.7305920524973364
Hard-brake,3,0.4310235264694004
Hard-brake,4,0.19087190514287455
Hard-brake,5,0.1582242299216847
