Behavior,Scale,SampEn
Following,1,0.2879954151975216
Following,2,0.5535174717406363
Following,3,0.6987901912989022
Following,4,0.49217356596876244
Following,5,0.39600870308072456
Lane-change,1,0.4330034305655167
Lane-change,2,0.7452667694993217
Lane-change,3,0.5608232039326192
Lane-change,4,0.27012908467880575
Lane-change,5,0.17781902373138034
Hard-brake,1,0.6319963073530962
Hard-brake,2,0.6758515075481547
Hard-brake,3,0.4242036950496523
Hard-brake,4,0.21611168914916862
Hard-brake,5,0.14906912751611712
