Model,Horizon_s,Error_m
CV,1.0,0.579746579943569
CV,2.0,1.508636395364348
CV,3.0,2.729266450740408
CV,4.0,4.206559817119753
CV,5.0,5.912453437580383
CA,1.0,0.7664702865796962
CA,2.0,2.4965684135882875
CA,3.0,5.201319243193481
CA,4.0,8.90407405484878
CA,5.0,13.614743587759273
Ridge,1.0,0.5093928673683626
Ridge,2.0,1.3641913207532483
Ridge,3.0,2.483184629902886
Ridge,4.0,3.856678663573698
Ridge,5.0,5.467354240977838
Ridge-nonlinear-only,1.0,0.5788396525339611
Ridge-nonlinear-only,2.0,1.4730065613245709
Ridge-nonlinear-only,3.0,2.636624047809795
Ridge-nonlinear-only,4.0,4.050337954782266
Ridge-nonlinear-only,5.0,5.6860399291344725
Ridge+nonlinear,1.0,0.5096542065294521
Ridge+nonlinear,2.0,1.3585321650484659
Ridge+nonlinear,3.0,2.468503307798995
Ridge+nonlinear,4.0,3.8271385897989023
Ridge+nonlinear,5.0,5.41777043214682
XGBoost,1.0,0.4979286185434133
XGBoost,2.0,1.3227340814082478
XGBoost,3.0,2.4094093172914306
XGBoost,4.0,3.7385897085453372
XGBoost,5.0,5.302500764886307
XGBoost-nonlinear-only,1.0,0.5695044014038122
XGBoost-nonlinear-only,2.0,1.4414545205980582
XGBoost-nonlinear-only,3.0,2.57399575292006
XGBoost-nonlinear-only,4.0,3.9498334832312043
XGBoost-nonlinear-only,5.0,5.550846995480301
XGBoost+nonlinear,1.0,0.49868998034557366
XGBoost+nonlinear,2.0,1.322055704318855
XGBoost+nonlinear,3.0,2.406579804490906
XGBoost+nonlinear,4.0,3.7321814379152602
XGBoost+nonlinear,5.0,5.291926063092094
