Embedding_dim,Tau,ADE,FDE
2,1,15.656299591064453,24.87857437133789
2,2,15.491344451904297,23.11989974975586
2,3,15.619292259216309,21.87294578552246
2,4,15.95437240600586,21.147031784057617
2,5,16.364429473876953,21.248706817626953
3,1,15.552705764770508,23.625301361083984
3,2,16.02405548095703,20.425243377685547
3,3,17.20624542236328,21.286819458007812
3,4,18.838876724243164,23.377073287963867
3,5,20.151031494140625,25.434316635131836
4,1,7.104581832885742,19.57394790649414
4,2,7.387714385986328,16.286367416381836
4,3,7.683593273162842,13.91441535949707
4,4,7.724581241607666,14.205458641052246
4,5,8.398529052734375,11.716001510620117
5,1,7.355710029602051,19.83428382873535
5,2,7.370205402374268,14.870086669921875
5,3,7.549834251403809,14.885488510131836
5,4,7.881386756896973,13.623454093933105
5,5,8.450459480285645,11.478809356689453
6,1,2.929694175720215,6.076079845428467
6,2,2.847108840942383,5.683799743652344
6,3,3.0476534366607666,5.9109907150268555
6,4,3.096719980239868,5.651634216308594
6,5,3.293360710144043,5.445710182189941
7,1,2.5315303802490234,5.229747772216797
7,2,2.5384676456451416,5.171268939971924
7,3,2.6932015419006348,5.505856990814209
7,4,2.7304110527038574,5.593597412109375
7,5,2.8336784839630127,5.7611308097839355
